episode,steps,reward,coins,invalid,self_kill,eps
263,62,-8.2,3,23,0,0.48
264,9,-11.2,2,3,1,0.48
265,26,-8.6,3,7,1,0.48
266,33,-11.9,3,12,1,0.48
267,9,-11.7,1,4,1,0.47
268,34,-2.2,4,4,0,0.47
269,34,-12.4,3,12,1,0.47
270,87,-16.9,2,39,1,0.47
271,7,-9.5,0,0,1,0.47
272,61,-4.9,8,22,0,0.46
273,9,-9.3,1,4,1,0.46
274,5,-11.2,1,1,1,0.46
275,5,-11.8,1,2,1,0.46
276,16,-9.6,3,2,1,0.46
277,36,-0.2,9,6,0,0.45
278,22,-9.7,1,4,1,0.45
279,8,-11.3,1,1,1,0.45
280,26,-12.7,2,8,1,0.45
281,28,-2.9,6,10,0,0.45
282,42,-12.9,2,6,1,0.44
283,29,-5.3,5,13,0,0.44
284,24,-9.5,5,6,1,0.44
285,65,-7.8,9,17,1,0.44
286,29,-15.5,0,8,1,0.44
287,14,-8.4,3,7,1,0.43
288,69,-7.4,11,18,1,0.43
289,27,-12.8,1,12,1,0.43
290,24,-6.6,5,6,1,0.43
291,55,-8.4,6,17,1,0.43
292,21,-6.3,4,5,1,0.42
293,27,-3.0,4,8,0,0.42
294,42,-3.8,5,12,0,0.42
295,63,-13.3,0,26,0,0.42
296,38,-8.5,7,10,1,0.42
297,110,-10.9,7,38,1,0.41
298,21,-5.0,8,4,1,0.41
299,89,-8.0,9,30,1,0.41
300,125,-10.9,7,37,1,0.41
301,38,-6.6,7,10,1,0.41
302,34,-2.4,6,6,0,0.4
303,32,-5.1,4,4,0,0.4
304,19,-9.6,4,3,1,0.4
305,51,0.4,11,8,0,0.4
306,122,-11.1,10,44,1,0.4
307,70,-3.9,6,19,0,0.39
308,13,-11.2,2,5,1,0.39
309,70,-3.8,4,17,0,0.39
310,20,0.7,7,5,0,0.39
311,9,-10.3,2,0,1,0.39
312,8,-11.0,2,4,1,0.38
313,14,-8.0,5,2,1,0.38
314,18,-8.3,5,4,1,0.38
315,5,-12.0,1,3,1,0.38
316,7,-8.3,2,0,1,0.38
317,24,-2.3,11,3,1,0.37
318,13,-8.6,4,2,1,0.37
319,30,-0.9,6,8,0,0.37
320,18,-9.2,4,4,1,0.37
321,93,-0.5,10,17,0,0.37
322,6,-11.8,1,3,1,0.36
323,34,-7.0,7,6,1,0.36
324,43,-2.8,9,16,0,0.36
325,38,-0.4,7,8,0,0.36
326,118,-11.3,8,20,1,0.36
327,25,-3.6,5,2,0,0.35
328,32,-8.5,6,7,1,0.35
329,20,2.1,8,5,0,0.35
330,177,-11.6,5,31,1,0.35
331,8,-11.5,2,4,1,0.35
332,57,0.1,11,12,0,0.34
333,68,-0.6,10,14,0,0.34
334,30,1.7,7,1,0,0.34
335,68,-9.3,7,15,1,0.34
336,30,-11.5,2,4,1,0.34
337,61,-10.2,4,9,1,0.33
338,77,-9.3,6,12,1,0.33
339,40,-2.2,5,7,0,0.33
340,35,-1.4,9,3,1,0.33
341,10,-12.2,1,2,1,0.33
342,32,-6.7,6,4,1,0.32
343,57,-3.0,9,10,0,0.32
344,10,-8.0,2,0,1,0.32
345,42,-2.6,8,10,0,0.32
346,63,-3.6,7,10,0,0.32
347,138,-5.7,11,34,1,0.31
348,12,-10.2,3,3,1,0.31
349,15,-8.5,2,1,1,0.31
350,40,4.4,11,4,0,0.31
351,60,-8.8,7,8,1,0.31
352,50,-2.3,5,10,0,0.31
353,38,0.8,7,4,0,0.3
354,7,-8.3,2,2,1,0.3
355,23,-0.2,5,1,0,0.3
356,16,-9.3,3,2,1,0.3
357,28,1.0,9,3,0,0.3
358,180,-6.5,13,44,1,0.29
359,30,-1.8,7,3,0,0.29
360,20,-10.2,0,1,1,0.29
361,8,-7.7,2,1,1,0.29
362,5,-11.1,1,1,1,0.29
363,61,-5.4,11,11,1,0.28
364,26,0.0,9,6,0,0.28
365,40,2.7,10,6,0,0.28
366,45,-4.7,9,8,1,0.28
367,51,-0.9,7,10,0,0.28
368,39,-4.5,3,6,0,0.27
369,19,1.0,6,0,0,0.27
370,137,-9.0,11,33,1,0.27
371,47,-1.2,7,16,0,0.27
372,111,0.0,10,12,0,0.27
373,63,3.8,11,7,0,0.26
374,44,2.4,9,5,0,0.26
375,42,-0.3,9,9,0,0.26
376,40,-3.7,4,15,0,0.26
