episode,steps,reward,coins,invalid,self_kill,eps
243,7,-12.341,1,3,1,0.885
244,17,-11.679,2,7,1,0.885
245,11,-12.671,1,5,1,0.884
246,7,-11.221,2,3,1,0.884
247,15,-13.176,1,8,1,0.883
248,9,-10.911,2,1,1,0.883
249,5,-13.026,0,3,1,0.882
250,7,-11.601,1,3,1,0.882
251,10,-13.003,0,5,1,0.881
252,17,-13.828,0,4,1,0.881
253,36,-12.48,1,8,1,0.88
254,5,-12.006,1,2,1,0.88
255,15,-13.403,1,10,1,0.879
256,22,-9.426,2,6,1,0.879
257,14,-12.029,2,7,1,0.878
258,8,-12.453,0,3,1,0.878
259,5,-11.006,2,2,1,0.877
260,24,-14.583,0,6,1,0.877
261,5,-13.001,0,2,1,0.877
262,15,-10.866,3,5,1,0.876
263,8,-11.531,1,3,1,0.876
264,14,-13.056,1,6,1,0.875
265,19,-12.592,2,8,1,0.875
266,9,-10.756,2,4,1,0.874
267,16,-13.006,1,5,1,0.874
268,6,-12.403,0,2,1,0.873
269,10,-13.411,0,4,1,0.873
270,8,-12.651,0,2,1,0.872
271,12,-12.761,1,6,1,0.872
272,13,-11.098,2,4,1,0.871
273,22,-13.826,0,7,1,0.871
274,11,-12.901,0,3,1,0.87
275,21,-14.476,0,5,1,0.87
276,19,-11.692,2,5,1,0.869
277,6,-13.038,0,2,1,0.869
278,19,-8.238,3,2,1,0.868
279,10,-12.231,1,2,1,0.868
280,12,-12.753,1,4,1,0.867
281,8,-13.271,0,5,1,0.867
282,6,-13.051,0,2,1,0.867
283,6,-13.171,0,4,1,0.866
284,8,-11.348,2,4,1,0.866
285,9,-12.358,1,4,1,0.865
286,10,-13.633,0,6,1,0.865
287,5,-12.186,1,4,1,0.864
288,7,-11.091,2,3,1,0.864
289,30,-8.967,3,6,1,0.863
290,6,-13.111,0,4,1,0.863
291,5,-12.451,0,2,1,0.862
292,9,-9.498,1,2,1,0.862
293,8,-11.813,1,3,1,0.861
294,11,-9.983,1,2,1,0.861
295,5,-12.086,1,3,1,0.86
296,7,-13.306,0,5,1,0.86
297,11,-12.571,1,4,1,0.859
298,6,-11.521,1,3,1,0.859
299,9,-13.408,0,3,1,0.858
300,5,-9.886,2,2,1,0.858
301,8,-12.276,1,4,1,0.858
302,6,-10.568,2,3,1,0.857
303,17,-13.902,0,4,1,0.857
304,11,-13.468,0,4,1,0.856
305,7,-11.171,1,4,1,0.856
306,11,-12.513,1,5,1,0.855
307,7,-12.628,0,4,1,0.855
308,36,-9.602,5,12,1,0.854
309,8,-12.433,1,4,1,0.854
310,10,-13.223,0,4,1,0.853
311,5,-12.303,0,1,1,0.853
312,22,-12.076,2,6,1,0.852
313,6,-9.836,2,1,1,0.852
314,8,-12.863,0,5,1,0.851
315,10,-10.913,0,1,1,0.851
316,8,-12.371,1,5,1,0.85
317,5,-11.803,1,1,1,0.85
318,19,-13.277,0,6,1,0.849
319,11,-12.578,1,5,1,0.849
320,36,-13.864,2,14,1,0.848
321,13,-14.018,0,8,1,0.848
322,29,-12.513,3,13,1,0.848
323,5,-12.351,0,2,1,0.847
324,20,-10.971,3,7,1,0.847
325,6,-11.901,0,2,1,0.846
326,27,-12.326,3,10,1,0.846
327,5,-12.976,0,2,1,0.845
328,6,-11.633,1,4,1,0.845
329,7,-11.858,1,4,1,0.844
330,20,-13.236,1,6,1,0.844
331,6,-11.676,1,4,1,0.843
332,18,-13.663,0,3,1,0.843
333,6,-10.298,2,1,1,0.842
334,19,-11.652,1,4,1,0.842
335,12,-13.103,0,5,1,0.841
336,8,-13.276,0,2,1,0.841
337,9,-12.163,1,2,1,0.84
338,13,-11.756,2,6,1,0.84
339,51,-16.589,1,27,1,0.839
340,6,-10.526,2,2,1,0.839
341,6,-13.061,0,4,1,0.839
342,5,-11.553,1,2,1,0.838
343,11,-12.718,1,5,1,0.838
344,6,-11.866,0,3,1,0.837
345,9,-13.428,0,6,1,0.837
346,9,-13.546,0,6,1,0.836
347,23,-10.771,3,7,1,0.836
348,9,-12.288,1,3,1,0.835
349,10,-11.078,1,2,1,0.835
350,6,-12.183,1,4,1,0.834
351,9,-13.231,0,4,1,0.834
352,12,-13.053,0,3,1,0.833
353,9,-13.396,0,4,1,0.833
354,5,-12.318,0,1,1,0.832
355,22,-11.553,3,7,1,0.832
356,5,-12.898,0,1,1,0.831
357,6,-13.086,0,3,1,0.831
358,23,-14.183,1,12,1,0.83
359,27,-12.552,2,13,1,0.83
360,22,-8.513,3,9,1,0.829
361,5,-12.946,0,2,1,0.829
362,18,-11.848,1,4,1,0.829
363,9,-13.526,0,5,1,0.828
364,5,-12.431,0,3,1,0.828
365,18,-10.378,1,4,1,0.827
366,13,-11.948,2,7,1,0.827
367,37,-15.072,1,14,1,0.826
368,16,-13.348,1,9,1,0.826
369,5,-11.691,0,0,1,0.825
370,8,-11.116,1,3,1,0.825
371,10,-12.586,1,5,1,0.824
372,15,-11.313,2,6,1,0.824
373,14,-12.593,1,5,1,0.823
374,12,-12.803,1,7,1,0.823
375,6,-12.376,0,0,1,0.822
376,9,-12.838,0,4,1,0.822
377,9,-12.456,1,4,1,0.821
378,13,-12.481,1,5,1,0.821
379,12,-9.513,3,5,1,0.82
380,8,-13.468,0,5,1,0.82
381,5,-11.998,1,2,1,0.82
382,7,-12.108,1,3,1,0.819
383,8,-8.383,2,1,1,0.819
384,17,-13.061,1,7,1,0.818
385,8,-10.941,2,5,1,0.818
386,16,-10.708,3,5,1,0.817
387,9,-13.218,0,4,1,0.817
388,16,-13.346,1,8,1,0.816
389,14,-13.831,0,5,1,0.816
390,9,-11.266,2,3,1,0.815
391,9,-11.908,1,5,1,0.815
392,9,-12.896,0,5,1,0.814
393,6,-11.443,1,1,1,0.814
394,16,-13.119,1,5,1,0.813
395,8,-11.863,1,2,1,0.813
396,9,-13.666,0,8,1,0.812
397,35,-12.659,3,16,1,0.812
398,13,-10.873,2,4,1,0.811
399,11,-12.408,1,4,1,0.811
400,12,-12.883,0,5,1,0.81
401,5,-12.106,1,3,1,0.81
402,7,-9.898,2,1,1,0.81
403,5,-12.186,1,4,1,0.809
404,9,-13.596,0,6,1,0.809
405,6,-10.518,2,3,1,0.808
406,22,-9.166,5,3,1,0.808
407,14,-12.928,1,8,1,0.807
408,29,-12.664,2,15,1,0.807
409,29,-13.682,1,15,1,0.806
410,7,-13.031,0,1,1,0.806
411,11,-13.026,0,5,1,0.805
412,8,-12.713,0,3,1,0.805
413,54,-14.172,3,11,1,0.804
414,18,-10.518,3,6,1,0.804
415,30,-12.551,3,11,1,0.803
416,15,-12.428,1,5,1,0.803
417,13,-13.926,0,8,1,0.802
418,6,-11.551,1,2,1,0.802
419,35,-11.572,0,14,1,0.801
420,12,-11.883,1,3,1,0.801
421,14,-13.816,0,6,1,0.8
422,6,-10.763,2,0,1,0.8
423,27,-14.458,1,14,1,0.8
424,5,-12.926,0,2,1,0.799
425,15,-12.807,0,4,1,0.799
426,6,-12.153,1,3,1,0.798
427,13,-13.146,1,8,1,0.798
428,26,-14.074,1,10,1,0.797
429,15,-11.676,2,5,1,0.797
430,22,-14.701,0,7,1,0.796
431,5,-12.903,0,2,1,0.796
432,22,-10.314,1,8,1,0.795
433,6,-9.233,1,1,1,0.795
434,25,-13.518,1,13,1,0.794
435,32,-8.322,6,13,1,0.794
436,27,-12.672,1,5,1,0.793
437,6,-11.073,2,2,1,0.793
438,16,-9.629,4,6,1,0.792
439,6,-12.966,0,2,1,0.792
440,7,-12.921,0,1,1,0.791
441,20,-11.369,2,7,1,0.791
442,12,-13.801,0,7,1,0.791
443,7,-11.786,1,4,1,0.79
444,74,-15.497,4,31,1,0.79
445,7,-13.296,0,4,1,0.789
446,7,-11.341,2,4,1,0.789
447,6,-13.123,0,3,1,0.788
448,15,-11.603,2,5,1,0.788
449,5,-11.418,1,1,1,0.787
450,34,-12.27,2,12,1,0.787
451,12,-12.041,1,6,1,0.786
452,11,-12.661,1,6,1,0.786
453,5,-12.448,0,2,1,0.785
454,5,-12.531,0,3,1,0.785
455,7,-13.171,0,3,1,0.784
456,7,-11.633,1,3,1,0.784
457,18,-11.468,2,4,1,0.783
458,20,-11.057,2,6,1,0.783
459,24,-12.514,2,7,1,0.782
460,5,-11.576,1,3,1,0.782
461,6,-11.493,1,1,1,0.781
462,12,-10.981,1,2,1,0.781
463,5,-11.956,1,2,1,0.781
464,7,-12.661,0,3,1,0.78
465,6,-12.936,0,2,1,0.78
466,6,-12.573,0,3,1,0.779
467,14,-13.493,0,6,1,0.779
468,7,-12.281,1,4,1,0.778
469,12,-11.673,1,3,1,0.778
470,8,-10.783,1,1,1,0.777
471,19,-11.608,2,5,1,0.777
472,58,-17.173,1,25,1,0.776
473,7,-13.226,0,3,1,0.776
474,5,-10.731,1,1,1,0.775
475,20,-9.882,3,6,1,0.775
476,7,-12.663,0,3,1,0.774
477,33,-10.332,3,7,1,0.774
478,6,-13.191,0,4,1,0.773
479,11,-11.821,1,2,1,0.773
480,11,-11.678,2,5,1,0.772
481,11,-12.433,1,3,1,0.772
482,13,-13.056,0,5,1,0.772
483,7,-12.953,0,1,1,0.771
484,26,-13.216,2,11,1,0.771
485,6,-13.053,0,2,1,0.77
486,29,-12.837,2,13,1,0.77
487,18,-14.546,0,11,1,0.769
488,6,-13.153,0,3,1,0.769
489,15,-13.736,0,6,1,0.768
490,5,-10.446,2,1,1,0.768
491,5,-11.901,1,1,1,0.767
492,13,-12.831,1,5,1,0.767
493,6,-13.148,0,3,1,0.766
494,5,-12.086,1,2,1,0.766
495,9,-11.043,2,6,1,0.765
496,15,-12.873,1,5,1,0.765
497,7,-11.583,1,3,1,0.764
498,5,-12.341,0,2,1,0.764
499,16,-11.281,2,5,1,0.763
500,29,-11.197,3,13,1,0.763
501,5,-10.386,2,2,1,0.762
502,38,-12.624,2,9,1,0.762
503,10,-12.158,0,3,1,0.762
504,14,-11.359,2,5,1,0.761
505,8,-13.016,0,3,1,0.761
506,18,-9.733,2,4,1,0.76
507,10,-12.626,1,6,1,0.76
508,16,-11.911,1,8,1,0.759
509,7,-11.791,1,4,1,0.759
510,5,-13.056,0,3,1,0.758
511,30,-9.788,5,9,1,0.758
512,25,-15.083,0,16,1,0.757
513,10,-11.438,2,2,1,0.757
514,27,-14.313,1,13,1,0.756
515,30,-12.993,1,5,1,0.756
516,5,-12.976,0,2,1,0.755
517,7,-13.258,0,3,1,0.755
518,5,-12.888,0,2,1,0.754
519,63,-7.304,10,14,1,0.754
520,12,-11.311,2,3,1,0.753
521,8,-13.198,0,3,1,0.753
522,7,-12.248,1,4,1,0.753
523,7,-13.218,0,4,1,0.752
524,22,-12.727,1,6,1,0.752
525,35,-10.718,4,13,1,0.751
526,14,-13.158,1,8,1,0.751
527,10,-12.466,1,4,1,0.75
528,35,-11.291,3,8,1,0.75
529,8,-11.893,1,4,1,0.749
530,11,-12.828,1,7,1,0.749
531,34,-13.363,3,18,1,0.748
532,8,-13.238,0,3,1,0.748
533,8,-12.221,1,3,1,0.747
534,9,-11.026,2,4,1,0.747
535,22,-13.826,1,11,1,0.746
536,102,-19.827,2,42,1,0.746
537,15,-12.636,1,9,1,0.745
538,25,-10.919,4,12,1,0.745
539,14,-11.499,2,4,1,0.744
540,6,-11.516,1,3,1,0.744
541,8,-11.798,1,4,1,0.744
542,8,-11.558,1,3,1,0.743
543,5,-12.466,0,3,1,0.743
544,34,-9.8,5,12,1,0.742
545,5,-11.726,0,2,1,0.742
546,11,-11.891,2,8,1,0.741
547,7,-12.038,1,3,1,0.741
548,10,-11.248,2,4,1,0.74
549,5,-12.456,0,3,1,0.74
550,12,-13.341,0,1,1,0.739
551,7,-12.178,1,2,1,0.739
552,8,-13.231,0,4,1,0.738
553,9,-11.818,1,3,1,0.738
554,11,-12.051,1,5,1,0.737
555,7,-12.046,1,2,1,0.737
556,29,-11.981,2,3,1,0.736
557,9,-11.021,2,4,1,0.736
558,11,-11.996,1,4,1,0.735
559,6,-11.646,1,3,1,0.735
560,22,-11.893,2,7,1,0.734
561,6,-11.503,1,2,1,0.734
562,28,-12.982,2,10,1,0.734
563,15,-13.971,0,4,1,0.733
564,29,-14.346,0,11,1,0.733
565,18,-13.038,1,3,1,0.732
566,5,-12.078,1,2,1,0.732
567,18,-13.233,1,8,1,0.731
568,14,-13.778,0,4,1,0.731
569,8,-13.183,0,2,1,0.73
570,11,-12.808,1,7,1,0.73
571,13,-8.116,4,2,1,0.729
572,25,-12.517,2,4,1,0.729
573,10,-11.018,0,4,1,0.728
574,36,-13.067,2,11,1,0.728
575,9,-13.293,0,2,1,0.727
576,6,-11.546,1,2,1,0.727
577,15,-12.836,1,4,1,0.726
578,7,-13.198,0,3,1,0.726
579,14,-12.163,1,5,1,0.725
580,15,-12.481,2,12,1,0.725
581,7,-8.773,2,2,1,0.725
582,29,-9.923,4,9,1,0.724
583,13,-12.651,1,2,1,0.724
584,17,-10.831,2,5,1,0.723
585,17,-12.716,1,6,1,0.723
586,5,-13.036,0,3,1,0.722
587,41,-13.787,1,9,1,0.722
588,5,-11.006,2,2,1,0.721
589,20,-13.101,1,9,1,0.721
590,6,-11.676,1,4,1,0.72
591,9,-12.271,1,4,1,0.72
592,14,-11.646,2,5,1,0.719
593,14,-12.396,1,5,1,0.719
594,9,-10.133,2,2,1,0.718
595,6,-13.141,0,3,1,0.718
596,12,-11.958,1,2,1,0.717
597,12,-11.423,2,5,1,0.717
598,30,-13.042,2,11,1,0.716
599,39,-15.113,1,10,1,0.716
600,5,-11.086,2,3,1,0.715
601,11,-12.188,1,6,1,0.715
602,12,-10.398,3,4,1,0.715
603,6,-10.518,2,1,1,0.714
604,67,-11.588,4,14,1,0.714
605,33,-8.917,6,8,1,0.713
606,5,-12.971,0,3,1,0.713
607,6,-10.981,1,2,1,0.712
608,12,-10.483,2,4,1,0.712
609,5,-12.451,0,2,1,0.711
610,5,-11.491,1,2,1,0.711
611,7,-12.278,1,4,1,0.71
612,9,-12.771,0,4,1,0.71
613,34,-10.123,5,11,1,0.709
614,9,-11.661,1,3,1,0.709
615,7,-13.321,0,5,1,0.708
616,5,-11.451,1,2,1,0.708
617,18,-9.511,2,6,1,0.707
618,7,-12.481,1,6,1,0.707
619,31,-15.983,0,17,1,0.706
620,11,-11.301,1,5,1,0.706
621,19,-10.139,3,4,1,0.706
622,13,-12.673,1,5,1,0.705
623,27,-13.133,2,8,1,0.705
624,5,-12.868,0,2,1,0.704
625,69,-14.597,3,21,1,0.704
626,9,-10.106,3,3,1,0.703
627,8,-13.451,0,5,1,0.703
628,25,-14.936,0,11,1,0.702
629,20,-14.018,1,15,1,0.702
630,5,-11.956,1,2,1,0.701
631,10,-10.963,2,5,1,0.701
632,10,-11.118,1,2,1,0.7
633,9,-12.063,1,2,1,0.7
634,10,-13.411,0,4,1,0.699
635,7,-13.236,0,4,1,0.699
636,6,-13.048,0,3,1,0.698
637,31,-12.841,2,10,1,0.698
638,23,-11.703,2,7,1,0.697
639,44,-15.711,1,23,1,0.697
640,11,-11.698,2,7,1,0.696
641,13,-13.018,1,8,1,0.696
642,24,-14.768,0,11,1,0.696
