episode,steps,reward,coins,invalid,self_kill,eps
291,11,-13.801,0,7,1,0.426
292,18,-13.416,1,10,1,0.424
293,5,-11.451,1,2,1,0.422
294,30,-11.266,4,8,1,0.42
295,7,-12.081,1,2,1,0.418
296,10,-13.111,0,8,1,0.416
297,8,-13.526,0,6,1,0.414
298,24,-12.893,2,12,1,0.412
299,12,-12.781,1,7,1,0.41
300,9,-11.096,2,1,1,0.408
301,5,-12.448,0,2,1,0.406
302,19,-12.371,2,6,1,0.404
303,71,-14.961,3,12,1,0.402
304,85,-13.18,6,21,1,0.4
305,8,-10.441,2,3,1,0.398
306,7,-8.836,3,1,1,0.396
307,10,-13.058,0,1,1,0.394
308,31,-6.342,7,8,1,0.392
309,6,-12.181,1,3,1,0.39
310,10,-13.471,0,6,1,0.388
311,6,-13.146,0,3,1,0.386
312,8,-12.153,1,4,1,0.384
313,76,-10.405,8,30,1,0.382
314,8,-13.268,0,5,1,0.38
315,38,-12.692,2,5,1,0.378
316,11,-12.806,1,8,1,0.376
317,20,-11.081,0,9,1,0.374
318,10,-12.868,1,7,1,0.372
319,7,-12.473,1,5,1,0.37
320,7,-11.928,1,1,1,0.368
321,15,-9.846,3,4,1,0.366
322,68,-9.282,7,23,1,0.364
323,33,-9.845,4,11,1,0.362
324,18,-10.463,3,6,1,0.36
325,26,-14.783,1,20,1,0.358
326,6,-12.228,1,4,1,0.356
327,5,-13.136,0,4,1,0.355
328,10,-13.446,0,4,1,0.353
329,25,-10.746,1,9,1,0.351
330,16,-11.242,1,4,1,0.349
331,5,-10.831,1,2,1,0.347
332,23,-11.808,2,11,1,0.345
333,5,-11.798,1,1,1,0.343
334,12,-13.978,0,8,1,0.341
335,5,-12.273,0,2,1,0.339
336,9,-11.801,1,2,1,0.337
337,6,-12.418,0,2,1,0.335
338,16,-13.276,1,10,1,0.333
339,46,-15.268,2,24,1,0.331
340,8,-10.408,2,1,1,0.329
341,31,-15.974,0,15,1,0.327
342,16,-8.138,4,3,1,0.325
343,55,-9.987,6,19,1,0.323
344,59,-9.467,6,22,1,0.321
345,29,-13.123,2,9,1,0.319
346,34,-14.681,0,13,1,0.317
347,13,-11.531,0,7,1,0.315
348,14,-11.868,1,1,1,0.313
349,17,-13.156,0,3,1,0.311
350,15,-11.419,2,4,1,0.309
351,29,-11.669,2,6,1,0.307
352,9,-11.033,2,1,1,0.305
353,6,-10.921,1,2,1,0.303
354,7,-11.936,1,2,1,0.301
355,63,-11.042,6,11,1,0.299
356,26,-12.019,1,4,1,0.297
357,40,-12.838,2,5,1,0.295
358,18,-10.791,2,1,1,0.293
359,18,-9.923,3,1,1,0.291
360,32,-7.763,5,6,1,0.289
361,54,-17.926,0,22,1,0.287
362,57,-14.444,2,32,1,0.285
363,28,-9.708,4,3,1,0.283
364,13,-9.208,2,5,1,0.281
365,15,-12.216,1,6,1,0.279
366,8,-7.236,3,0,1,0.277
367,7,-13.373,0,5,1,0.275
368,24,-5.741,8,5,1,0.273
369,37,-10.508,5,11,1,0.271
370,22,-7.753,3,3,1,0.269
371,7,-11.536,1,2,1,0.267
372,15,-13.291,1,11,1,0.265
373,51,-10.697,5,18,1,0.263
374,41,-16.006,0,8,1,0.261
375,22,-9.666,4,5,1,0.259
376,18,-11.576,2,6,1,0.258
377,74,-15.458,3,26,1,0.256
378,28,-10.363,4,6,1,0.254
379,10,-11.498,2,4,1,0.252
380,15,-13.366,1,11,1,0.25
381,6,-8.976,1,0,1,0.248
382,14,-11.537,1,0,1,0.246
383,44,-10.756,5,17,1,0.244
384,117,-16.648,4,16,1,0.242
385,12,-10.431,2,4,1,0.24
386,81,-16.862,2,14,1,0.238
387,5,-12.293,0,2,1,0.236
388,13,-9.296,4,3,1,0.234
389,37,-8.991,3,4,1,0.232
390,23,-11.718,3,15,1,0.23
391,45,-12.824,3,16,1,0.228
392,24,-8.122,5,6,1,0.226
393,40,-9.384,4,18,1,0.224
394,5,-13.083,0,3,1,0.222
395,29,-10.556,2,16,1,0.22
396,51,-6.465,7,10,1,0.218
397,43,-10.173,6,7,1,0.216
398,5,-10.876,1,2,1,0.214
399,63,-16.636,2,29,1,0.212
400,20,-9.218,4,3,1,0.21
401,23,-9.206,5,6,1,0.208
402,40,-4.997,9,14,1,0.206
403,31,-11.704,4,12,1,0.204
404,38,-15.511,0,6,1,0.202
405,39,-9.096,5,4,1,0.2
406,8,-11.521,1,2,1,0.198
407,64,-10.288,6,7,1,0.196
408,6,-12.176,1,3,1,0.194
409,11,-11.833,1,3,1,0.192
410,22,-14.433,0,4,1,0.19
411,32,-6.064,8,8,1,0.188
412,90,-12.326,4,23,1,0.186
413,58,-17.414,1,35,1,0.184
414,102,-11.094,11,56,1,0.182
415,9,-10.253,2,3,1,0.18
416,111,-15.831,4,6,1,0.178
417,32,-9.033,2,10,1,0.176
418,22,-7.757,5,10,1,0.174
419,34,-10.309,2,19,1,0.172
420,28,-9.223,5,5,1,0.17
421,80,-17.056,3,7,1,0.168
422,13,-10.626,2,6,1,0.166
423,182,-18.393,4,5,1,0.164
424,19,-6.743,5,2,1,0.162
425,57,-12.444,5,28,1,0.16
426,21,-8.801,5,9,1,0.159
