episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
201,5,-13.44,0,4,3,1,0,0,0.905,0.0184,2321
202,5,-15.271,0,4,2,1,0,0,0.905,0.0184,2326
203,9,-14.902,0,3,7,1,0,0,0.904,0.0184,2335
204,10,-14.442,0,4,6,1,0,0,0.904,0.0184,2345
205,10,-14.7,0,2,3,1,0,0,0.903,0.0184,2355
206,5,-15.44,0,3,2,1,0,0,0.903,0.0184,2360
207,19,-15.535,0,6,14,1,0,0,0.902,0.0184,2379
208,11,-11.794,0,2,5,1,0,0,0.902,0.0183,2390
209,5,-13.891,0,4,3,1,0,0,0.901,0.0183,2395
210,10,-14.782,0,3,5,1,0,0,0.901,0.0183,2405
211,6,-15.581,0,2,3,1,0,0,0.9,0.0183,2411
212,6,-15.699,0,3,4,1,0,0,0.9,0.0183,2417
213,20,-15.467,0,2,9,1,0,0,0.899,0.0183,2437
214,7,-14.75,0,1,4,1,0,0,0.899,0.0183,2444
215,8,-10.711,0,2,2,1,0,0,0.898,0.0183,2452
216,11,-14.786,0,2,3,1,0,0,0.898,0.0183,2463
217,11,-15.043,0,3,5,1,0,0,0.897,0.0183,2474
218,6,-14.046,0,2,2,1,0,0,0.897,0.0183,2480
219,18,-14.304,0,3,9,1,0,0,0.896,0.0183,2498
220,13,-12.366,0,3,5,1,0,0,0.896,0.0182,2511
221,7,-13.705,0,3,3,1,0,0,0.895,0.0182,2518
222,14,-15.772,0,2,7,1,0,0,0.895,0.0182,2532
223,7,-14.13,0,3,4,1,0,0,0.895,0.0182,2539
224,8,-14.626,0,3,4,1,0,0,0.894,0.0182,2547
225,8,-14.266,0,2,5,1,0,0,0.894,0.0182,2555
226,6,-15.314,0,4,1,1,0,0,0.893,0.0182,2561
227,11,-13.104,0,3,4,1,0,0,0.893,0.0182,2572
228,16,-15.666,0,5,8,1,0,0,0.892,0.0182,2588
229,10,-13.267,0,3,6,1,0,0,0.892,0.0182,2598
230,6,-12.968,0,2,1,1,0,0,0.891,0.0182,2604
231,6,-15.43,0,4,3,1,0,0,0.891,0.0182,2610
232,19,-15.049,0,2,11,1,0,0,0.89,0.0182,2629
233,26,-15.579,0,1,16,1,0,0,0.89,0.0181,2655
234,5,-14.846,0,4,3,1,0,0,0.889,0.0181,2660
235,6,-14.85,0,4,2,1,0,0,0.889,0.0181,2666
236,5,-13.274,0,4,3,1,0,0,0.888,0.0181,2671
237,29,-15.648,0,3,16,1,0,0,0.888,0.0181,2700
238,10,-14.786,0,2,4,1,0,0,0.887,0.0181,2710
239,8,-13.303,0,2,5,1,0,0,0.887,0.0181,2718
240,6,-12.432,0,3,3,1,0,0,0.886,0.0181,2724
241,16,-15.462,0,2,9,1,0,0,0.886,0.0181,2740
242,15,-15.332,0,3,11,1,0,0,0.886,0.0181,2755
243,38,-15.784,0,9,13,1,0,0,0.885,0.0181,2793
244,7,-13.893,0,2,5,1,0,0,0.885,0.0181,2800
245,10,-15.002,0,3,4,1,0,0,0.884,0.018,2810
246,19,-16.312,0,4,10,1,0,0,0.884,0.018,2829
247,8,-14.629,0,3,5,1,0,0,0.883,0.018,2837
248,6,-13.66,0,2,4,1,0,0,0.883,0.018,2843
249,12,-14.435,0,2,6,1,0,0,0.882,0.018,2855
250,13,-16.066,0,3,6,1,0,0,0.882,0.018,2868
251,7,-14.517,0,3,3,1,0,0,0.881,0.018,2875
252,17,-14.992,0,2,9,1,0,0,0.881,0.018,2892
253,15,-14.859,0,2,10,1,0,0,0.88,0.018,2907
254,10,-15.218,0,3,5,1,0,0,0.88,0.018,2917
255,7,-15.645,0,3,4,1,0,0,0.879,0.018,2924
256,17,-16.404,0,4,11,1,0,0,0.879,0.018,2941
257,11,-15.837,0,2,4,1,0,0,0.878,0.018,2952
258,5,-15.29,0,4,2,1,0,0,0.878,0.0179,2957
259,18,-13.795,0,4,6,1,0,0,0.877,0.0179,2975
260,6,-13.315,0,4,1,1,0,0,0.877,0.0179,2981
261,9,-13.148,0,5,2,1,0,0,0.877,0.0179,2990
262,7,-14.447,0,3,3,1,0,0,0.876,0.0179,2997
263,6,-15.03,0,3,3,1,0,0,0.876,0.0179,3003
264,15,-15.089,0,2,6,1,0,0,0.875,0.0179,3018
265,7,-15.993,0,2,6,1,0,0,0.875,0.0179,3025
266,29,-14.61,0,3,12,1,0,0,0.874,0.0179,3054
267,6,-15.05,0,2,2,1,0,0,0.874,0.0179,3060
268,8,-16.221,0,1,2,1,0,0,0.873,0.0179,3068
269,13,-14.465,0,3,6,1,0,0,0.873,0.0179,3081
270,7,-15.58,0,4,5,1,0,0,0.872,0.0178,3088
271,5,-14.867,0,3,2,1,0,0,0.872,0.0178,3093
272,5,-15.336,0,3,1,1,0,0,0.871,0.0178,3098
273,5,-15.397,0,4,3,1,0,0,0.871,0.0178,3103
274,34,-15.87,0,5,18,1,0,0,0.87,0.0178,3137
275,5,-15.316,0,4,2,1,0,0,0.87,0.0178,3142
276,17,-13.101,0,6,6,1,0,0,0.869,0.0178,3159
277,8,-14.152,0,2,3,1,0,0,0.869,0.0178,3167
278,9,-14.19,0,2,3,1,0,0,0.868,0.0178,3176
279,13,-16.044,0,4,7,1,0,0,0.868,0.0178,3189
280,8,-15.069,0,2,3,1,0,0,0.867,0.0178,3197
281,9,-12.735,0,2,6,1,0,0,0.867,0.0178,3206
282,5,-14.939,0,3,3,1,0,0,0.867,0.0178,3211
283,61,-18.304,0,5,33,1,0,0,0.866,0.0177,3272
284,12,-14.246,0,2,3,1,0,0,0.866,0.0177,3284
285,7,-15.233,0,3,4,1,0,0,0.865,0.0177,3291
286,21,-15.105,0,3,11,1,0,0,0.865,0.0177,3312
287,14,-15.337,0,3,9,1,0,0,0.864,0.0177,3326
288,5,-14.967,0,2,2,1,0,0,0.864,0.0177,3331
289,12,-14.443,0,2,6,1,0,0,0.863,0.0177,3343
290,17,-13.53,0,3,8,1,0,0,0.863,0.0177,3360
291,15,-13.917,0,3,8,1,0,0,0.862,0.0177,3375
292,9,-13.89,0,3,5,1,0,0,0.862,0.0177,3384
293,12,-14.062,0,2,6,1,0,0,0.861,0.0177,3396
294,21,-15.528,0,0,8,1,0,0,0.861,0.0177,3417
295,16,-12.286,0,6,4,1,0,0,0.86,0.0176,3433
296,5,-13.481,0,4,3,1,0,0,0.86,0.0176,3438
297,14,-12.517,0,3,6,1,0,0,0.859,0.0176,3452
298,5,-15.441,0,4,3,1,0,0,0.859,0.0176,3457
299,15,-16.148,0,4,8,1,0,0,0.858,0.0176,3472
300,11,-14.191,0,2,4,1,0,0,0.858,0.0176,3483
301,10,-12.771,0,3,6,1,0,0,0.858,0.0176,3493
302,9,-13.931,0,3,4,1,0,0,0.857,0.0176,3502
303,19,-14.117,0,3,11,1,0,0,0.857,0.0176,3521
304,15,-14.643,0,2,8,1,0,0,0.856,0.0176,3536
305,17,-12.602,0,2,6,1,0,0,0.856,0.0176,3553
306,22,-15.348,0,3,12,1,0,0,0.855,0.0176,3575
