seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss
29064,64,4,our_agent,9,4,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,6,1,0,0
29065,65,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",7,-5,0,0,1
29066,66,4,our_agent,2,2,0,0,400,2,9,1,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",7,-5,0,0,1
29067,67,4,our_agent,0,0,0,0,114,0,9,1,2,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",9,-9,0,0,1
29068,68,4,our_agent,9,4,1,0,400,1,9,1,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,7,1,0,0
29069,69,4,our_agent,5,5,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 0}",2,3,1,0,0
29070,70,4,our_agent,0,0,0,0,97,1,9,1,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 10, ""rule_based_agent_2"": 3}",10,-10,0,0,1
29071,71,4,our_agent,8,3,1,0,400,0,8,1,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,5,1,0,0
29072,72,4,our_agent,2,2,0,0,183,1,9,1,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",7,-5,0,0,1
29073,73,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",4,-2,0,0,1
29074,74,4,our_agent,2,2,0,0,400,1,9,1,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 9}",9,-7,0,0,1
29075,75,4,our_agent,0,0,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 11, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",11,-11,0,0,1
29076,76,4,our_agent,11,1,2,0,400,1,8,2,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 3}",4,7,1,0,0
29077,77,4,our_agent,2,2,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",4,-2,0,0,1
29078,78,4,our_agent,2,2,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,-2,0,0,1
29079,79,4,our_agent,0,0,0,0,400,1,9,1,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 6}",6,-6,0,0,1
29080,80,4,our_agent,3,3,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 2}",6,-3,0,0,1
29081,81,4,our_agent,0,0,0,0,107,0,9,1,2,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 9}",9,-9,0,0,1
29082,82,4,our_agent,8,3,1,0,400,1,9,1,0,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",4,4,1,0,0
29083,83,4,our_agent,0,0,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 6}",6,-6,0,0,1
29084,84,4,our_agent,1,1,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",7,-6,0,0,1
29085,85,4,our_agent,2,2,0,0,134,0,9,1,2,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",9,-7,0,0,1
29086,86,4,our_agent,2,2,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-2,0,0,1
29087,87,4,our_agent,7,2,1,0,139,0,9,2,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 8}",8,-1,0,0,1
29088,88,4,our_agent,6,6,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 2}",2,4,1,0,0
29089,89,4,our_agent,4,4,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",2,2,1,0,0
29090,90,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 0}",3,1,1,0,0
29091,91,4,our_agent,8,3,1,0,400,1,9,1,0,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",3,5,1,0,0
29092,92,4,our_agent,8,3,1,0,233,0,9,1,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",3,5,1,0,0
29093,93,4,our_agent,7,2,1,0,400,1,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,2,1,0,0
29094,94,4,our_agent,5,0,1,0,400,0,8,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,2,1,0,0
29095,95,4,our_agent,8,3,1,0,400,0,9,2,0,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 0}",7,1,1,0,0
29096,96,4,our_agent,3,3,0,0,400,1,9,2,1,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 7}",7,-4,0,0,1
29097,97,4,our_agent,8,3,1,0,400,0,8,1,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 0}",5,3,1,0,0
29098,98,4,our_agent,2,2,0,0,135,0,9,2,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 7}",8,-6,0,0,1
29099,99,4,our_agent,1,1,0,0,303,1,9,3,1,"{""rule_based_agent_0"": 11, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 9}",11,-10,0,0,1
