step,coin_distance,coin_actions,baseline_greedy,candidate_greedy,baseline_coin_probability,candidate_coin_probability,strict_coin_preference_loss,strict_coin_preference_gain,allowed_actions,driver,seed,actual_driver_action
41,6,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28008,DOWN
101,13,"['UP', 'LEFT']",['UP'],['UP'],1.0,1.0,False,False,"['UP', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",baseline,28008,UP
36,20,['RIGHT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT']",candidate,28008,WAIT
56,5,['DOWN'],['WAIT'],['BOMB'],0.0,0.0,False,False,"['DOWN', 'WAIT', 'BOMB']",candidate,28008,BOMB
71,14,"['UP', 'LEFT']",['LEFT'],['LEFT'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",candidate,28008,LEFT
76,9,['LEFT'],['LEFT'],['LEFT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT']",candidate,28008,LEFT
81,4,['UP'],['BOMB'],['UP'],0.0,1.0,False,True,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",candidate,28008,UP
91,5,['LEFT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT']",candidate,28008,WAIT
141,14,['UP'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['UP', 'WAIT']",candidate,28008,WAIT
16,3,['RIGHT'],['RIGHT'],['WAIT'],1.0,0.0,True,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28009,WAIT
61,18,['RIGHT'],['RIGHT'],['RIGHT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT']",candidate,28009,RIGHT
96,8,"['UP', 'DOWN']",['UP'],['UP'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",candidate,28009,UP
181,2,['RIGHT'],['RIGHT'],['WAIT'],1.0,0.0,True,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28009,WAIT
186,2,['RIGHT'],['BOMB'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28009,WAIT
191,2,['RIGHT'],['BOMB'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28009,WAIT
196,2,['RIGHT'],['BOMB'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28009,WAIT
16,2,['DOWN'],['DOWN'],['WAIT'],1.0,0.0,True,False,"['RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",baseline,28009,DOWN
66,3,['RIGHT'],['RIGHT'],['WAIT'],1.0,0.0,True,False,"['RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",baseline,28009,RIGHT
81,16,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28009,DOWN
171,3,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",baseline,28009,DOWN
216,1,['LEFT'],['LEFT'],['LEFT'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",baseline,28009,LEFT
236,4,['UP'],['UP'],['UP'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28009,UP
