seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss
27100,100,4,our_agent,1,1,0,0,400,2,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-3,0,0,1
27101,101,4,our_agent,2,2,0,0,400,1,9,1,0,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 9, ""rule_based_agent_2"": 0}",9,-7,0,0,1
27102,102,4,our_agent,6,1,1,0,123,0,9,3,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 9}",9,-3,0,0,1
27103,103,4,our_agent,5,0,1,0,400,1,9,2,0,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 1}",8,-3,0,0,1
27104,104,4,our_agent,1,1,0,0,46,0,8,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 3}",7,-6,0,0,1
27105,105,4,our_agent,8,3,1,0,400,1,9,2,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 9}",9,-1,0,0,1
27106,106,4,our_agent,4,4,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",2,2,1,0,0
27107,107,4,our_agent,1,1,0,1,121,1,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,-2,0,0,1
27108,108,4,our_agent,1,1,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 7}",7,-6,0,0,1
27109,109,4,our_agent,6,6,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 0}",2,4,1,0,0
27110,110,4,our_agent,7,2,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",4,3,1,0,0
27111,111,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-3,0,0,1
27112,112,4,our_agent,1,1,0,0,400,1,9,1,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 1}",8,-7,0,0,1
27113,113,4,our_agent,3,3,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 2}",5,-2,0,0,1
27114,114,4,our_agent,1,1,0,0,182,0,9,1,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 11, ""rule_based_agent_2"": 1}",11,-10,0,0,1
27115,115,4,our_agent,0,0,0,0,400,1,9,1,2,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",8,-8,0,0,1
27116,116,4,our_agent,2,2,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",4,-2,0,0,1
27117,117,4,our_agent,3,3,0,1,84,1,9,1,1,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",7,-4,0,0,1
27118,118,4,our_agent,2,2,0,0,400,2,7,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",3,-1,0,0,1
27119,119,4,our_agent,3,3,0,0,400,1,9,1,0,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",7,-4,0,0,1
27120,120,4,our_agent,3,3,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,0,0,1,0
27121,121,4,our_agent,1,1,0,0,400,1,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-4,0,0,1
27122,122,4,our_agent,2,2,0,0,400,2,9,0,2,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",5,-3,0,0,1
27123,123,4,our_agent,0,0,0,0,67,0,9,1,2,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 8}",8,-8,0,0,1
